booking_date,total_bookings
2023-08-05,21
2023-08-06,28
2023-08-07,15
2023-08-08,6
2023-08-09,16
2023-08-10,12
2023-08-11,33
2023-08-12,40
2023-08-13,49
2023-08-14,33
2023-08-15,0
2023-08-16,12
2023-08-17,17
2023-08-18,62
2023-08-19,39
2023-08-20,43
2023-08-21,16
2023-08-22,25
2023-08-23,13
2023-08-24,7
2023-08-25,37
2023-08-26,41
2023-08-27,49
2023-08-28,4
2023-08-29,19
2023-08-30,16
2023-08-31,11
2023-09-01,31
2023-09-02,45
2023-09-03,32
2023-09-04,0
2023-09-05,13
2023-09-06,8
2023-09-07,8
2023-09-08,48
2023-09-09,46
2023-09-10,38
2023-09-11,16
2023-09-12,17
2023-09-13,27
2023-09-14,19
2023-09-15,63
2023-09-16,35
2023-09-17,21
2023-09-18,0
2023-09-19,5
2023-09-20,20
2023-09-21,29
2023-09-22,34
2023-09-23,14
2023-09-24,43
2023-09-25,22
2023-09-26,15
2023-09-27,24
2023-09-28,24
2023-09-29,28
2023-09-30,42
2023-10-01,47
2023-10-02,31
2023-10-03,27
2023-10-04,6
2023-10-05,27
2023-10-06,21
2023-10-07,35
2023-10-08,31
2023-10-09,10
2023-10-10,15
2023-10-11,18
2023-10-12,14
2023-10-13,30
2023-10-14,43
2023-10-15,43
2023-10-16,21
2023-10-17,31
2023-10-18,26
2023-10-19,3
2023-10-20,33
2023-10-21,32
2023-10-22,24
2023-10-23,14
2023-10-24,17
2023-10-25,20
2023-10-26,15
2023-10-27,25
2023-10-28,56
2023-10-29,31
2023-10-30,17
2023-10-31,1
2023-11-01,4
2023-11-02,7
2023-11-03,38
2023-11-04,39
2023-11-05,39
2023-11-06,28
2023-11-07,9
2023-11-08,18
2023-11-09,12
2023-11-10,33
2023-11-11,52
2023-11-12,39
2023-11-13,31
2023-11-14,14
2023-11-15,21
2023-11-16,22
2023-11-17,33
2023-11-18,45
2023-11-19,48
2023-11-20,7
2023-11-21,9
2023-11-22,11
2023-11-23,26
2023-11-24,32
2023-11-25,51
2023-11-26,39
2023-11-27,19
2023-11-28,27
2023-11-29,37
2023-11-30,27
2023-12-01,31
2023-12-02,18
2023-12-03,37
2023-12-04,9
2023-12-05,26
2023-12-06,25
2023-12-07,9
2023-12-08,31
2023-12-09,20
2023-12-10,45
2023-12-11,20
2023-12-12,30
2023-12-13,23
2023-12-14,12
2023-12-15,37
2023-12-16,48
2023-12-17,38
2023-12-18,16
2023-12-19,14
2023-12-20,70
2023-12-21,33
2023-12-22,78
2023-12-23,78
2023-12-24,85
2023-12-25,68
2023-12-26,47
2023-12-27,73
2023-12-28,60
2023-12-29,53
2023-12-30,90
2023-12-31,51
2024-01-01,54
2024-01-02,54
2024-01-03,41
2024-01-04,30
2024-01-05,50
2024-01-06,29
2024-01-07,41
2024-01-08,16
2024-01-09,3
2024-01-10,24
2024-01-11,27
2024-01-12,67
2024-01-13,34
2024-01-14,49
2024-01-15,15
2024-01-16,21
2024-01-17,18
2024-01-18,7
2024-01-19,41
2024-01-20,28
2024-01-21,14
2024-01-22,21
2024-01-23,36
2024-01-24,25
2024-01-25,27
2024-01-26,35
2024-01-27,37
2024-01-28,47
2024-01-29,5
2024-01-30,26
2024-01-31,11
2024-02-01,20
2024-02-02,46
2024-02-03,31
2024-02-04,39
2024-02-05,11
2024-02-06,15
2024-02-07,13
2024-02-08,10
2024-02-09,31
2024-02-10,31
2024-02-11,33
2024-02-12,26
2024-02-13,13
2024-02-14,11
2024-02-15,28
2024-02-16,41
2024-02-17,50
2024-02-18,42
2024-02-19,18
2024-02-20,10
2024-02-21,21
2024-02-22,17
2024-02-23,41
2024-02-24,29
2024-02-25,54
2024-02-26,10
2024-02-27,28
2024-02-28,0
2024-02-29,19
2024-03-01,52
2024-03-02,56
2024-03-03,51
2024-03-04,39
2024-03-05,47
2024-03-06,12
2024-03-07,43
2024-03-08,81
2024-03-09,65
2024-03-10,75
2024-03-11,51
2024-03-12,21
2024-03-13,38
2024-03-14,47
2024-03-15,50
2024-03-16,69
2024-03-17,49
2024-03-18,21
2024-03-19,27
2024-03-20,36
2024-03-21,35
2024-03-22,56
2024-03-23,61
2024-03-24,50
2024-03-25,43
2024-03-26,28
2024-03-27,36
2024-03-28,38
2024-03-29,44
2024-03-30,43
2024-03-31,39
2024-04-01,26
2024-04-02,39
2024-04-03,42
2024-04-04,51
2024-04-05,68
2024-04-06,76
2024-04-07,64
2024-04-08,19
2024-04-09,35
2024-04-10,33
2024-04-11,47
2024-04-12,59
2024-04-13,40
2024-04-14,53
2024-04-15,66
2024-04-16,26
2024-04-17,18
2024-04-18,53
2024-04-19,48
2024-04-20,64
2024-04-21,67
2024-04-22,46
2024-04-23,9
2024-04-24,55
2024-04-25,45
2024-04-26,60
2024-04-27,62
2024-04-28,42
2024-04-29,35
2024-04-30,40
2024-05-01,22
2024-05-02,36
2024-05-03,58
2024-05-04,43
2024-05-05,50
2024-05-06,31
2024-05-07,37
2024-05-08,39
2024-05-09,51
2024-05-10,84
2024-05-11,75
2024-05-12,49
2024-05-13,24
2024-05-14,54
2024-05-15,27
2024-05-16,40
2024-05-17,62
2024-05-18,53
2024-05-19,32
2024-05-20,23
2024-05-21,37
2024-05-22,42
2024-05-23,38
2024-05-24,37
2024-05-25,60
2024-05-26,46
2024-05-27,52
2024-05-28,50
2024-05-29,54
2024-05-30,46
2024-05-31,57
2024-06-01,36
2024-06-02,37
2024-06-03,27
2024-06-04,33
2024-06-05,11
2024-06-06,10
2024-06-07,43
2024-06-08,40
2024-06-09,31
2024-06-10,9
2024-06-11,25
2024-06-12,24
2024-06-13,37
2024-06-14,52
2024-06-15,21
2024-06-16,34
2024-06-17,30
2024-06-18,16
2024-06-19,5
2024-06-20,17
2024-06-21,34
2024-06-22,45
2024-06-23,44
2024-06-24,5
2024-06-25,18
2024-06-26,15
2024-06-27,18
2024-06-28,37
2024-06-29,51
2024-06-30,49
2024-07-01,22
2024-07-02,33
2024-07-03,17
2024-07-04,21
2024-07-05,26
2024-07-06,13
2024-07-07,35
2024-07-08,21
2024-07-09,26
2024-07-10,8
2024-07-11,12
2024-07-12,42
2024-07-13,60
2024-07-14,27
2024-07-15,4
2024-07-16,32
2024-07-17,10
2024-07-18,13
2024-07-19,34
2024-07-20,40
2024-07-21,36
2024-07-22,11
2024-07-23,24
2024-07-24,0
2024-07-25,19
2024-07-26,55
2024-07-27,10
2024-07-28,34
2024-07-29,0
2024-07-30,33
2024-07-31,21
2024-08-01,4
2024-08-02,23
2024-08-03,32
2024-08-04,52
2024-08-05,10
2024-08-06,2
2024-08-07,29
2024-08-08,2
2024-08-09,50
2024-08-10,34
2024-08-11,27
2024-08-12,13
2024-08-13,19
2024-08-14,26
2024-08-15,15
2024-08-16,45
2024-08-17,33
2024-08-18,38
2024-08-19,19
2024-08-20,9
2024-08-21,0
2024-08-22,22
2024-08-23,37
2024-08-24,42
2024-08-25,50
2024-08-26,25
2024-08-27,15
2024-08-28,21
2024-08-29,12
2024-08-30,36
2024-08-31,36
2024-09-01,39
2024-09-02,29
2024-09-03,16
2024-09-04,20
2024-09-05,37
2024-09-06,28
2024-09-07,29
2024-09-08,35
2024-09-09,32
2024-09-10,24
2024-09-11,12
2024-09-12,23
2024-09-13,41
2024-09-14,33
2024-09-15,15
2024-09-16,13
2024-09-17,17
2024-09-18,16
2024-09-19,20
2024-09-20,33
2024-09-21,34
2024-09-22,46
2024-09-23,14
2024-09-24,20
2024-09-25,24
2024-09-26,7
2024-09-27,42
2024-09-28,18
2024-09-29,19
2024-09-30,15
2024-10-01,17
2024-10-02,19
2024-10-03,8
2024-10-04,39
2024-10-05,53
2024-10-06,30
2024-10-07,10
2024-10-08,15
2024-10-09,13
2024-10-10,36
2024-10-11,35
2024-10-12,15
2024-10-13,43
2024-10-14,27
2024-10-15,18
2024-10-16,16
2024-10-17,29
2024-10-18,55
2024-10-19,59
2024-10-20,39
2024-10-21,23
2024-10-22,29
2024-10-23,22
2024-10-24,22
2024-10-25,29
2024-10-26,53
2024-10-27,49
2024-10-28,16
2024-10-29,28
2024-10-30,9
2024-10-31,11
2024-11-01,45
2024-11-02,33
2024-11-03,36
2024-11-04,14
2024-11-05,26
2024-11-06,12
2024-11-07,16
2024-11-08,37
2024-11-09,53
2024-11-10,58
2024-11-11,18
2024-11-12,0
2024-11-13,13
2024-11-14,9
2024-11-15,43
2024-11-16,30
2024-11-17,31
2024-11-18,16
2024-11-19,4
2024-11-20,24
2024-11-21,0
2024-11-22,32
2024-11-23,46
2024-11-24,62
2024-11-25,35
2024-11-26,7
2024-11-27,6
2024-11-28,22
2024-11-29,24
2024-11-30,42
2024-12-01,45
2024-12-02,15
2024-12-03,15
2024-12-04,21
2024-12-05,8
2024-12-06,56
2024-12-07,27
2024-12-08,53
2024-12-09,12
2024-12-10,23
2024-12-11,29
2024-12-12,31
2024-12-13,27
2024-12-14,59
2024-12-15,31
2024-12-16,22
2024-12-17,34
2024-12-18,29
2024-12-19,22
2024-12-20,75
2024-12-21,67
2024-12-22,57
2024-12-23,48
2024-12-24,60
2024-12-25,31
2024-12-26,42
2024-12-27,41
2024-12-28,63
2024-12-29,62
2024-12-30,46
2024-12-31,56
